,rank,itemName
0,1位,12/2発売予定　KingGnu　/　CEREMONY 【アナログレコード】+Sympa 【アナログレコード】+Tokyo Rendez-Vous 【アナログレコード】LP【KK9N018P】
1,2位,LPレコード外袋 PP製 透明 厚口 ジャストサイズ 500枚セット（LP用 12インチレコード レコード用外袋 レコード袋 レコード用袋 ジャケットカバー 保護袋 保護カバー 透明カバー 透明袋 ポリ袋 レコード保存 レコード保管） /マルゲリータ
2,3位,EP（08）レコード袋　500枚　（0.08mm　PP素材　底シール 国内製造） レコード袋
3,4位,【送料無料】 Miles Davis マイルスデイビス / Miles In The Sky (高音質盤 / 45回転盤 / 2枚組 / 180グラム重量盤レコード / Mobile Fidelity) 【LP】
4,5位,【送料無料】 スタジオジブリ / STUDIO GHIBLI 7inch BOX (追加プレス / BOX仕様 / 5枚組 / 7インチシングルレコード) 【7&quot;&quot;Single】
5,6位,【送料無料】 Sigur Ros シガーロス / Takk... (3枚組アナログレコード) 【LP】
6,7位,【送料無料】[枚数限定][限定]Sympa(2LP)【アナログ盤】/King Gnu[ETC]【返品種別A】
7,8位,【送料無料】[枚数限定][限定]CEREMONY(2LP)【アナログ盤】/King Gnu[ETC]【返品種別A】
8,9位,【送料無料】[枚数限定][限定]Tokyo Rendez-Vous(2LP)【アナログ盤】/King Gnu[ETC]【返品種別A】
9,10位,【ポイント10倍】King　Gnu／CEREMONY (完全生産限定盤)[BVJL-42]【発売日】2020/12/2【レコード】キングヌー
10,11位,【ポイント10倍】King　Gnu／Sympa (完全生産限定盤)[BVJL-40]【発売日】2020/12/2【レコード】キングヌー
11,12位,【送料無料】[枚数限定][限定][先着特典付]SOUNDTRACKS(初回生産限定盤Vinyl)【アナログ盤】/Mr.Children[ETC]【返品種別A】
12,13位,【送料無料】 久石譲 ヒサイシジョウ / もののけ姫　サウンドトラック (2枚組アナログレコード) 【LP】
13,14位,【送料無料】[枚数限定][限定]LOUIS ARMSTRONG MEETS OSCAR PETERSON【輸入盤】【アナログ盤】▼/LOUIS ARMSTRONG AND OSCAR PETERSON[ETC]【返品種別A】
14,15位,【送料無料】CIRCLES【輸入盤】【アナログ盤】▼/MAC MILLER[ETC]【返品種別A】
15,16位,久石譲 ヒサイシジョウ / もののけ姫　イメージアルバム (アナログレコード) 【LP】
16,17位,間宮貴子 / LOVE TRIP (4thプレス / アナログレコード) 【LP】
17,18位,青葉市子 アオバイチコ / 檻髪 【完全初回プレス限定生産】(アナログレコード) 【LP】
18,19位,青葉市子 アオバイチコ / 剃刀乙女 【完全初回プレス限定生産】(アナログレコード) 【LP】
19,20位,LPレコード内袋 HD製 丸底 半透明 500枚セット（LP用 12インチレコード レコード用内袋 レコード袋 レコード用袋 インナージャケット レコードインナー 保護袋 保護カバー ポリ袋 レコード保存 レコード保管 レコード用品） /マルゲリータ
20,21位,"【予約】 ゆるふわギャング, ヘンタイカメラ&#9829; & YOU THE ROCK★ / GOA [12inch] (11/18)"
21,23位,（LP）宮崎美子／メロウ 【中古】
22,24位,LP（09）レコード袋　100枚　（0.09mm　PP素材　底シール 国内製造）
23,25位,LP（08）レコード袋　100枚　（0.08mm　PP素材　底シール 国内製造）
24,26位,（LP）ルビー・スターとグレイ・ゴースト／ルビー・スターと灰色お化け【中古】
